beta,sgn
0.5,0.5824423440843883
1.0,0.25653003780677097
1.5,0.12803224083568415
2.0,0.06540832332480746
2.5,0.03334661481488373
3.0,0.01694841799550308
5.0,0.001121160325081139
10.0,1.2570568842874759e-06
